Numero Ticket;Tipo de caso;Categoria;Tipo;Item;Resumen;Matri;Ubicacion;Numero Telefonico;Indicador Vip;Region;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad;Grupos asignado;Grupo creador
WO0000004554568;R;MOBILIARIO;CAJAS DE SEGURIDAD;CAJA BUZON;REPROGRAMAR;NULL;AREQUIPA - 215000;##;1;NULL;Zona Norte;Web HD;Rechazado;2022-10-22;2022-10-24;;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004554530;R;MOBILIARIO;IMAGEN;IMANTADO;CONFECCIONAR;S89781;LUREN - 380004;##;1;NULL;Zona Centro;Web HD;Rechazado;2022-10-22;2022-10-22;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004554426;R;MOBILIARIO;EQUIPO;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;S23207;UMACOLLO - 215009;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-22;2022-11-04;2022-11-04;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004551541;R;MOBILIARIO;IMAGEN;IMANTADO;CONFECCIONAR;E17916;PISCO - 470000;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-28;2022-10-28;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004552791;R;MOBILIARIO;LUMINARIAS;FOCO AHORRADOR;CAMBIAR;NULL;GRAU (LIMA) - 191005;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-25;2022-10-25;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004554597;R;MOBILIARIO;LUMINARIAS;FOCO FLOURESCENTES;CAMBIAR;S02891;ALFONSO UGARTE - 191089;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-24;2022-10-24;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551853;R;MOBILIARIO;LUMINARIAS;FOCO FLOURESCENTES;CAMBIAR;S35060;EL SOL - 191082;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553216;R;MOBILIARIO;LUMINARIAS;FOCO DICROICOS;CAMBIAR;E13416;PRIMAX MELGAREJO - 193084;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553672;R;MOBILIARIO;IMAGEN;SEÑALETICA INTERNA;REPONER;S02891;ALFONSO UGARTE - 191089;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-26;2022-10-26;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551347;R;MOBILIARIO;IMAGEN;VINIL;REPONER;S10547;PLAZA LIMA NORTE - 191058;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-29;2022-10-29;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004552583;R;MOBILIARIO;EQUIPO;AIRE ACONDICIONADO;REGULAR;S00309;ANTUNEZ DE MAYOLO - 191028;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-25;2022-10-25;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551986;R;MOBILIARIO;LUMINARIAS;FOCO FLOURESCENTES;REVISAR;S03349;SAN CAMILO - 215006;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004554359;R;MOBILIARIO;LUMINARIAS;REFLECTOR / LAMPARAS;CAMBIAR;S30409;SAN ROMAN - 405003;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-22;2022-10-30;2022-10-30;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004555018;R;MOBILIARIO;SERVICIOS HIGIENICOS;GRIFERIA;REVISAR;U22888;EL PROGRESO - 191037;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-25;2022-10-25;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553742;R;MOBILIARIO;INST. ELECTRICAS;PUNTO / CABLE DE RED;REVISAR;S40006;VITARTE - 191043;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-29;2022-10-29;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553251;R;MOBILIARIO;INST. ELECTRICAS;CORTE DE ENERGIA;REVISAR;S49099;LA RAMBLA BRASIL - 191166;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-22;2022-10-22;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004552171;R;MOBILIARIO;CERRAJERIA;CAJONERA  CERRADURA;REEMPLAZAR;S37928;MERCADO DE FRUTAS - 191064;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004555012;R;MOBILIARIO;DISPOSITIVOS DE SEGURIDAD ELECTRONICA;PANEL DE ALARMAS;REPARACION;C45801;PARQUE INDUSTRIAL (AREQUIPA) - 215005;##;1;Prov2RegSur1;Zona Norte;NULL;Terminado;2022-10-22;2022-10-24;;1;MANTENIMIENTO PROV 2 - SUR;CENTRASCAN
WO0000004551169;R;MOBILIARIO;DISPOSITIVOS DE SEGURIDAD ELECTRONICA;PANEL DE ALARMAS;REPARACION;C45801;SAN ROMAN - 405003;##;1;Prov2RegSur2;Zona Norte;NULL;Terminado;2022-10-22;2022-10-24;;1;MANTENIMIENTO PROV 2 - SUR;CENTRASCAN
WO0000004551033;R;MOBILIARIO;DISPOSITIVOS DE SEGURIDAD ELECTRONICA;PANEL DE ALARMAS;REPARACION;C45801;ALTO DE LA ALIANZA - 540004;##;1;Prov1RegSur1;Zona Norte;NULL;Terminado;2022-10-22;2022-10-22;;1;MANTENIMIENTO PROV 2 - SUR;CENTRASCAN
WO0000004555009;R;MOBILIARIO;DISPOSITIVOS DE SEGURIDAD ELECTRONICA;PANEL DE ALARMAS;REPARACION;C45801;NARANJAL - 191141;##;1;Lim1Reg5;Zona Centro;NULL;Terminado;2022-10-22;2022-10-23;;1;MANTENIMIENTO LIMA 1;CENTRASCAN
WO0000004551156;R;MOBILIARIO;DISPOSITIVOS DE SEGURIDAD ELECTRONICA;PANEL DE ALARMAS;REPARACION;C45801;CHOSICA - 191075;##;1;NULL;Zona Centro;NULL;Terminado;2022-10-22;2022-10-23;;1;MANTENIMIENTO LIMA 1;CENTRASCAN
